C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
,Kerala,3278,0,65.8,48.3,1.2,284,0.0,05.11.17
,Tamil Nadu,11990,0,249.8,152.6,3.5,836,0.0,05.11.17
,Pondy,297,0,6.2,6.6,-0.4,19,0.0,05.11.17
ER,Bihar,3773,0,65.7,59.9,0.1,50,0.0,05.11.17
,DVC,3099,0,64.6,-23.8,2.5,230,0.0,05.11.17
,Jharkhand,1055,0,23.2,13.5,-0.5,30,0.0,05.11.17
,Odisha,3978,0,72.6,35.3,4.8,480,0.0,05.11.17
,West Bengal,6572,0,107.8,21.2,2.5,450,0.0,05.11.17
,Sikkim,87,0,1.2,1.1,0.1,25,0.0,05.11.17
NER,Arunachal Pradesh,115,10,2.5,1.9,0.6,7,0.0,05.11.17
,Assam,1341,177,22.8,17.4,0.1,139,1.1,05.11.17
,Manipur,163,7,2.1,2.5,-0.4,19,0.0,05.11.17
,Meghalaya,295,0,5.3,1.8,-0.1,59,0.0,05.11.17
,Mizoram,82,3,1.4,1.2,0.2,15,0.0,05.11.17
,Nagaland,121,4,2.2,1.5,0.2,19,0.0,05.11.17
,Tripura,210,2,4.9,2.0,1.6,75,0.1,05.11.17
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 11.5 -2.0 -11.1
Day peak (MW) 495.8 -262.8 -644.2
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 150.2 -135.9 73.4 -82.5 -6.4 -1.3
Actual(MU) 137.9 -142.4 81.2 -71.0 -5.3 0.5
O/D/U/D(MU) -12.2 -6.4 7.8 11.5 1.1 1.7
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 3772 15259 4270 1595 410 25305
State Sector 10595 16048 12552 6215 50 45460
Total 14367 31307 16822 7810 459 70765
G. Sourcewise generation (MU)
NR WR SR ER NER Total
Thermal (Coal & Lignite) 544 1109 505 374 7 2539
Hydro 125 19 67 50 17 279
Nuclear 33 16 51 0 0 100
Gas, Naptha & Diesel 45 53 18 0 25 141
RES (Wind, Solar, Biomass & Others) 12 66 105 1 0 184
Total 759 1263 746 426 50 3243
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
स�चव(ऊजा)र् /संयुक्त स�चव(पारेषण)/(ओ एम)/�नदेशक(ओ एम)/मुख्य अ�भयंता-के०�व०प्रा०(�ग्र०प्र०)/
मुख्य कायर्पालक अ�धकार�(पोसोको)/सभी राज्यो के मुख्य स�चव/ऊजा र् स�चव
महाप्रबंधक (रा० भा० प्रे० के०)",,,,,,,,,05.11.17
Region,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",05.11.18
,Punjab,5014,0,113.0,18.3,-0.6,92,0.0,05.11.18
,Haryana,5631,0,114.3,62.1,0.1,240,0.0,05.11.18
,Rajasthan,10979,0,222.8,62.9,-0.3,361,0.0,05.11.18
,Delhi,3222,0,64.6,42.4,-1.5,223,0.0,05.11.18
NR,UP,14091,0,273.8,106.4,1.4,499,0.0,05.11.18
,Uttarakhand,1708,0,32.8,20.4,-0.2,237,0.0,05.11.18
,HP,1408,0,25.5,15.0,-0.2,107,1.0,05.11.18
,J&K,1420,355,24.1,30.1,-15.2,85,5.7,05.11.18
,Chandigarh,153,0,2.9,3.0,-0.1,13,0.0,05.11.18
WR,Chhattisgarh,3943,0,87.1,21.1,-1.1,209,0.0,05.11.18
,Gujarat,15253,0,337.1,132.2,6.6,771,0.0,05.11.18
,MP,12595,0,267.7,158.6,-0.2,455,0.0,05.11.18
,Maharashtra,22763,0,481.4,160.6,3.3,724,0.0,05.11.18
,Goa,468,0,10.0,8.8,0.7,58,0.0,05.11.18
,DD,312,0,7.1,6.3,0.8,90,0.0,05.11.18
,DNH,677,0,5.4,15.0,-9.6,81,0.0,05.11.18
,Essar steel,467,0,9.6,9.5,0.1,234,0.0,05.11.18
SR,Andhra Pradesh,8460,0,184.9,64.9,-0.5,539,0.0,05.11.18
,Telangana,8578,0,205.2,94.6,3.4,534,0.0,05.11.18
,Karnataka,9475,0,192.1,49.7,-0.7,369,0.0,05.11.18
,Kerala,3374,0,64.3,38.8,0.3,166,0.0,05.11.18
,Tamil Nadu,11873,0,256.6,124.2,-1.4,475,0.0,05.11.18
,Pondy,309,0,6.5,6.5,-0.3,20,0.0,05.11.18
,Bihar,4499,0,80.1,75.6,1.3,190,0.0,05.11.18
,DVC,2839,500,62.1,-27.3,5.2,400,1.5,05.11.18
ER,Jharkhand,1015,0,23.3,16.9,0.4,120,0.0,05.11.18
,Odisha,4417,250,91.8,36.6,4.2,280,-0.8,05.11.18
,West Bengal,7063,0,128.6,27.8,4.6,350,0.0,05.11.18
,Sikkim,86,0,1.1,1.1,0.0,20,0.0,05.11.18
NER,Arunachal Pradesh,104,3,2.0,1.6,0.5,173,0.0,05.11.18
,Assam,1369,65,23.0,17.7,0.7,121,0.6,05.11.18
,Manipur,152,2,2.1,2.4,-0.2,27,0.0,05.11.18
,Meghalaya,280,0,5.2,3.2,-0.1,132,0.0,05.11.18
,Mizoram,80,1,1.9,0.8,0.5,30,0.0,05.11.18
,Nagaland,136,4,2.1,1.7,0.2,31,0.0,05.11.18
,Tripura,228,1,3.8,2.3,-0.2,23,0.1,05.11.18
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 7.4 -2.0 -18.9
Day peak (MW) 407.3 -126.0 -913.0
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 88.1 -121.6 103.8 -72.2 1.1 -0.8
Actual(MU) 66.2 -120.5 101.0 -51.0 0.3 -4.0
O/D/U/D(MU) -21.9 1.2 -2.8 21.2 -0.8 -3.3
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 5369 12572 7132 1960 356 27389
State Sector 8920 15390 6800 6425 50 37585
Total 14289 27962 13932 8385 406 64973
G. Sourcewise generation (MU)
NR WR SR ER NER All India
Thermal (Coal & Lignite) 555 1189 514 413 5 2675
Hydro 161 42 68 58 9 338
Nuclear 24 30 41 0 0 95
Gas, Naptha & Diesel 27 48 25 0 29 130
RES (Wind, Solar, Biomass & Others) 55 41 169 2 0 267
Total 823 1349 816 473 43 3504
Share of RES in total generation (%) 6.70 3.01 20.70 0.38 0.07 7.61
Share of Non-fossil fuel (Hydro, Nuclear and
29.26 8.28 34.01 12.72 21.06 19.96
RES) in total generation (%)
H. Diversity Factor
All India Demand Diversity Factor 1.039
Diversity factor = Sum of regional maximum demands / All India maximum demand
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
काययपािक सनिेशक (रा० भा० प्रे० के०)",,,,,,,,,05.11.18
Region,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",05.11.18
,Punjab,5014,0,113.0,18.3,-0.6,92,0.0,05.11.18
,Haryana,5631,0,114.3,62.1,0.1,240,0.0,05.11.18
,Rajasthan,10979,0,222.8,62.9,-0.3,361,0.0,05.11.18
,Delhi,3222,0,64.6,42.4,-1.5,223,0.0,05.11.18
NR,UP,14091,0,273.8,106.4,1.4,499,0.0,05.11.18
,Uttarakhand,1708,0,32.8,20.4,-0.2,237,0.0,05.11.18
,HP,1408,0,25.5,15.0,-0.2,107,1.0,05.11.18
,J&K,1420,355,24.1,30.1,-15.2,85,5.7,05.11.18
,Chandigarh,153,0,2.9,3.0,-0.1,13,0.0,05.11.18
WR,Chhattisgarh,3943,0,87.1,21.1,-1.1,209,0.0,05.11.18
,Gujarat,15253,0,337.1,132.2,6.6,771,0.0,05.11.18
,MP,12595,0,267.7,158.6,-0.2,455,0.0,05.11.18
,Maharashtra,22763,0,481.4,160.6,3.3,724,0.0,05.11.18
,Goa,468,0,10.0,8.8,0.7,58,0.0,05.11.18
,DD,312,0,7.1,6.3,0.8,90,0.0,05.11.18
,DNH,677,0,5.4,15.0,-9.6,81,0.0,05.11.18
,Essar steel,467,0,9.6,9.5,0.1,234,0.0,05.11.18
SR,Andhra Pradesh,8460,0,184.9,64.9,-0.5,539,0.0,05.11.18
,Telangana,8578,0,205.2,94.6,3.4,534,0.0,05.11.18
,Karnataka,9475,0,192.1,49.7,-0.7,369,0.0,05.11.18
,Kerala,3374,0,64.3,38.8,0.3,166,0.0,05.11.18
,Tamil Nadu,11873,0,256.6,124.2,-1.4,475,0.0,05.11.18
,Pondy,309,0,6.5,6.5,-0.3,20,0.0,05.11.18
,Bihar,4499,0,80.1,75.6,1.3,190,0.0,05.11.18
,DVC,2839,-500,62.1,-27.3,5.2,400,1.5,05.11.18
ER,Jharkhand,1015,0,23.3,16.9,0.4,120,0.0,05.11.18
,Odisha,4417,-250,91.8,36.6,4.2,280,-0.8,05.11.18
,West Bengal,7063,0,128.6,27.8,4.6,350,0.0,05.11.18
,Sikkim,86,0,1.1,1.1,0.0,20,0.0,05.11.18
NER,Arunachal Pradesh,104,3,2.0,1.6,0.5,173,0.0,05.11.18
,Assam,1369,65,23.0,17.7,0.7,121,0.6,05.11.18
,Manipur,152,2,2.1,2.4,-0.2,27,0.0,05.11.18
,Meghalaya,280,0,5.2,3.2,-0.1,132,0.0,05.11.18
,Mizoram,80,1,1.9,0.8,0.5,30,0.0,05.11.18
,Nagaland,136,4,2.1,1.7,0.2,31,0.0,05.11.18
,Tripura,228,1,3.8,2.3,-0.2,23,0.1,05.11.18
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 7.4 -2.0 -18.9
Day peak (MW) 407.3 -126.0 -913.0
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 88.1 -121.6 103.8 -72.2 1.1 -0.8
Actual(MU) 66.2 -120.5 101.0 -51.0 0.3 -4.0
O/D/U/D(MU) -21.9 1.2 -2.8 21.2 -0.8 -3.3
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 5369 12572 7132 1960 356 27389
State Sector 8920 15390 6800 6425 50 37585
Total 14289 27962 13932 8385 406 64973
G. Sourcewise generation (MU)
NR WR SR ER NER All India
Thermal (Coal & Lignite) 555 1189 514 413 5 2675
Hydro 161 42 68 58 9 338
Nuclear 24 30 41 0 0 95
Gas, Naptha & Diesel 27 48 25 0 29 130
RES (Wind, Solar, Biomass & Others) 55 41 169 2 0 267
Total 823 1349 816 473 43 3504
Share of RES in total generation (%) 6.70 3.01 20.70 0.38 0.07 7.61
Share of Non-fossil fuel (Hydro, Nuclear and
29.26 8.28 34.01 12.72 21.06 19.96
RES) in total generation (%)
H. Diversity Factor
All India Demand Diversity Factor 1.039
Diversity factor = Sum of regional maximum demands / All India maximum demand
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
कार्पय ालक निदेशक (रा० भा० प्र०े के०)",,,,,,,,,05.11.18
Region,FVI,<49.7,49.7-49.8,49.8-49.9,<49.9,49.9-50.05,> 50.05,,05.11.19
All India,0.040,0.00,0.39,9.25,9.64,73.14,17.22,,05.11.19
C. Power Supply Position in States,,,,,,,,,05.11.19
Region,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum
Demand (MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",05.11.19
,Punjab,5300,0,106.4,45.9,-1.6,98,0.0,05.11.19
,Haryana,5925,0,115.6,104.5,0.3,185,0.0,05.11.19
,Rajasthan,10620,0,212.7,68.7,-1.1,467,0.0,05.11.19
,Delhi,3512,0,66.3,51.0,-0.9,94,0.0,05.11.19
NR,UP,15069,0,274.4,116.1,0.4,998,4.3,05.11.19
,Uttarakhand,1695,0,32.6,19.1,0.5,113,0.0,05.11.19
,HP,1471,0,26.4,16.6,0.4,96,0.0,05.11.19
,J&K,2336,584,43.6,37.2,-1.1,152,10.0,05.11.19
,Chandigarh,191,0,3.5,3.4,0.1,32,0.0,05.11.19
WR,Chhattisgarh,3494,0,75.7,29.2,0.5,369,0.0,05.11.19
,Gujarat,13043,0,284.8,62.3,4.6,581,0.0,05.11.19
,MP,8972,0,189.7,136.6,1.0,575,0.0,05.11.19
,Maharashtra,18150,0,388.4,128.5,-1.7,556,0.0,05.11.19
,Goa,541,0,12.1,11.1,0.5,312,0.0,05.11.19
,DD,302,0,6.7,6.1,0.6,49,0.0,05.11.19
,DNH,767,0,17.7,17.8,-0.1,77,0.0,05.11.19
,Essar steel,323,0,6.0,6.2,-0.2,295,0.0,05.11.19
SR,Andhra Pradesh,7603,0,164.0,61.1,1.0,510,0.0,05.11.19
,Telangana,7460,0,156.4,38.6,-0.8,463,0.0,05.11.19
,Karnataka,8115,0,159.9,36.0,0.3,633,0.0,05.11.19
,Kerala,3472,0,66.9,47.4,0.9,198,0.0,05.11.19
,Tamil Nadu,13611,0,264.6,141.3,2.0,670,0.0,05.11.19
,Pondy,356,0,6.9,7.4,-0.5,22,0.0,05.11.19
ER,Bihar,4534,0,79.4,79.4,-0.5,100,0.0,05.11.19
,DVC,2912,0,60.7,-18.6,0.3,190,0.0,05.11.19
,Jharkhand,1295,0,23.6,15.8,-1.3,24,0.0,05.11.19
,Odisha,4338,0,78.9,2.1,-0.1,250,0.0,05.11.19
,West Bengal,7169,0,125.0,48.8,2.0,220,0.0,05.11.19
,Sikkim,95,0,1.0,1.4,-0.5,10,0.0,05.11.19
,Arunachal Pradesh,110,1,2.1,1.7,0.3,49,0.0,05.11.19
,Assam,1552,50,24.3,18.2,0.0,141,0.5,05.11.19
NER,Manipur,156,1,2.5,2.3,0.3,81,0.0,05.11.19
,Meghalaya,315,0,5.8,3.0,0.1,37,0.0,05.11.19
,Mizoram,97,1,1.6,0.9,0.4,10,0.0,05.11.19
,Nagaland,126,1,2.3,2.0,-0.1,2,0.0,05.11.19
,Tripura,245,1,4.1,3.1,-0.2,48,0.0,05.11.19
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 15.3 -0.4 -19.0
Day peak (MW) 703.5 -21.0 -851.0
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 193.5 -195.3 76.6 -76.2 -0.4 -1.9
Actual(MU) 186.6 -191.4 82.3 -79.9 -0.4 -2.7
O/D/U/D(MU) -6.9 3.9 5.8 -3.7 0.0 -0.9
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 3847 19128 9272 1565 597 34409
State Sector 13152 19052 10703 6170 19 49096
Total 16999 38179 19975 7735 616 83505
G. Sourcewise generation (MU)
NR WR SR ER NER All India
Coal 471 1018 338 398 11 2236
Lignite 17 13 47 0 0 76
Hydro 138 55 164 70 12 438
Nuclear 28 24 60 0 0 111
Gas, Naptha & Diesel 29 44 16 0 24 113
RES (Wind, Solar, Biomass & Others) 37 30 119 2 0 188
Total 719 1183 743 469 48 3163
Share of RES in total generation (%) 5.16 2.57 15.98 0.36 0.08 5.94
Share of Non-fossil fuel (Hydro, Nuclear and
28.15 9.20 46.06 15.25 25.49 23.31
RES) in total generation (%)
H. Diversity Factor
All India Demand Diversity Factor 1.005
Diversity factor = Sum of regional maximum demands / All India maximum demand
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
कार्पय ालक निदेशक (रा० भा० प्रे० के०)",,,,,,,,,05.11.19
NR,Punjab,5341,0,107.3,84.2,-0.2,166,3.0,05.11.20
,Haryana,5753,0,122.7,110.5,0.4,194,0.0,05.11.20
,Rajasthan,12821,0,244.8,94.8,1.6,453,0.0,05.11.20
,Delhi,3605,0,64.7,47.2,-0.1,207,0.0,05.11.20
,UP,14584,0,282.6,110.3,2.1,367,0.7,05.11.20
,Uttarakhand,1827,0,35.6,26.8,0.8,135,0.1,05.11.20
,HP,1572,0,29.8,20.8,0.2,335,0.0,05.11.20
,J&K(UT) & Ladakh(UT),2385,0,48.3,40.9,2.4,446,0.0,05.11.20
,Chandigarh,168,0,3.0,3.0,0.1,27,0.0,05.11.20
WR,Chhattisgarh,3415,0,73.4,26.3,-1.2,229,0.0,05.11.20
,Gujarat,15756,0,350.3,40.9,3.4,668,0.0,05.11.20
,MP,13541,0,270.8,171.2,-2.4,377,0.0,05.11.20
,Maharashtra,20299,0,435.1,139.6,-2.2,926,0.0,05.11.20
,Goa,484,0,10.6,9.8,0.2,82,0.0,05.11.20
,DD,346,0,7.7,7.3,0.4,37,0.0,05.11.20
,DNH,791,0,18.1,18.2,-0.1,61,0.0,05.11.20
,AMNSIL,775,0,16.8,1.7,0.8,288,0.0,05.11.20
SR,Andhra Pradesh,9022,0,183.8,89.3,-0.9,366,0.0,05.11.20
,Telangana,7269,0,149.5,37.1,-1.9,430,0.0,05.11.20
,Karnataka,10196,0,191.5,51.9,1.2,588,0.0,05.11.20
,Kerala,3519,0,72.6,47.6,0.5,218,0.0,05.11.20
,Tamil Nadu,15298,0,326.7,202.5,-1.0,536,0.0,05.11.20
,Puducherry,385,0,7.9,8.1,-0.2,30,0.0,05.11.20
ER,Bihar,4147,0,69.8,72.3,-3.6,413,0.0,05.11.20
,DVC,2952,0,63.5,-30.1,1.8,858,0.0,05.11.20
,Jharkhand,1391,0,24.9,18.6,-2.1,81,0.0,05.11.20
,Odisha,4764,0,90.5,17.4,-0.7,277,0.0,05.11.20
,West Bengal,6886,0,126.2,38.3,-2.0,395,0.0,05.11.20
,Sikkim,107,0,1.4,1.6,-0.2,25,0.0,05.11.20
NER,Arunachal Pradesh,122,1,1.9,1.8,0.1,30,0.0,05.11.20
,Assam,1612,7,27.5,24.9,-0.4,111,0.0,05.11.20
,Manipur,208,2,2.8,2.5,0.2,35,0.0,05.11.20
,Meghalaya,340,0,5.8,2.5,-0.2,26,0.0,05.11.20
,Mizoram,102,2,1.7,0.7,0.8,18,0.0,05.11.20
,Nagaland,140,1,2.5,2.2,0.2,21,0.0,05.11.20
,Tripura,258,2,4.5,4.7,-0.4,48,0.0,05.11.20
NR,Punjab,4156,0,79.2,40.7,-0.2,151,0.00,05.11.21
,Haryana,4310,0,84.5,60.2,1.7,308,0.00,05.11.21
,Rajasthan,11524,0,198.9,53.2,-0.9,554,0.00,05.11.21
,Delhi,2660,0,51.8,41.0,-0.6,97,0.00,05.11.21
,UP,13530,0,241.2,94.2,-0.3,502,0.98,05.11.21
,Uttarakhand,1389,0,25.2,11.2,-0.4,174,0.00,05.11.21
,HP,1217,0,21.2,7.2,-0.3,329,0.00,05.11.21
,J&K(UT) & Ladakh(UT),2633,0,51.9,42.5,1.4,328,3.45,05.11.21
,Chandigarh,147,0,2.5,3.8,-1.2,0,0.00,05.11.21
WR,Chhattisgarh,3106,0,69.5,24.5,0.2,331,0.00,05.11.21
,Gujarat,11164,0,235.0,163.6,-1.9,1203,0.00,05.11.21
,MP,10946,0,218.7,156.9,-1.7,525,0.00,05.11.21
,Maharashtra,20095,0,426.8,135.5,-0.1,739,0.00,05.11.21
,Goa,539,0,10.8,10.7,-0.4,44,0.00,05.11.21
,DD,193,0,3.4,3.1,0.3,43,0.00,05.11.21
,DNH,604,0,12.9,12.8,0.1,57,0.00,05.11.21
,AMNSIL,822,0,18.1,9.2,0.1,255,0.00,05.11.21
SR,Andhra Pradesh,7563,0,155.7,56.9,-0.4,580,0.00,05.11.21
,Telangana,7710,0,156.6,42.4,-1.1,308,0.00,05.11.21
,Karnataka,8413,0,160.1,35.2,-3.1,515,0.00,05.11.21
,Kerala,3632,0,71.2,33.7,-1.8,191,0.00,05.11.21
,Tamil Nadu,10288,0,195.9,128.8,-4.2,553,0.00,05.11.21
,Puducherry,343,0,6.1,7.1,-1.0,33,0.00,05.11.21
ER,Bihar,4550,0,79.1,72.2,-0.8,439,0.28,05.11.21
,DVC,3160,0,65.2,-23.5,-1.0,333,0.00,05.11.21
,Jharkhand,1426,0,27.6,22.2,-1.0,235,0.00,05.11.21
,Odisha,5757,0,115.3,63.6,-1.6,441,0.00,05.11.21
,West Bengal,6566,0,117.7,5.2,0.0,430,0.00,05.11.21
,Sikkim,73,0,1.1,1.3,-0.2,32,0.00,05.11.21
NER,Arunachal Pradesh,122,0,2.3,2.2,0.0,40,0.00,05.11.21
,Assam,1490,0,24.8,17.5,0.2,83,0.00,05.11.21
,Manipur,195,0,2.6,2.5,0.0,35,0.15,05.11.21
,Meghalaya,376,0,6.1,4.6,-0.1,69,0.00,05.11.21
,Mizoram,112,0,1.7,1.4,-0.1,9,0.00,05.11.21
,Nagaland,143,0,2.3,2.1,-0.1,26,0.00,05.11.21
,Tripura,237,0,3.9,2.2,-0.5,23,0.00,05.11.21
NR,Punjab,6413,0,127.3,39.0,-0.9,179,0.00,05.11.22
,Haryana,6339,0,132.1,72.4,-1.2,142,0.34,05.11.22
,Rajasthan,14706,0,286.1,98.9,-0.8,332,0.53,05.11.22
,Delhi,3646,0,71.6,63.9,-0.6,146,0.00,05.11.22
,UP,16182,0,304.8,88.8,-0.6,378,0.78,05.11.22
,Uttarakhand,1778,0,35.4,23.0,0.3,127,1.05,05.11.22
,HP,1823,0,32.1,18.5,-0.5,45,0.00,05.11.22
,J&K(UT) & Ladakh(UT),2584,100,51.3,45.0,1.1,539,1.87,05.11.22
,Chandigarh,185,0,3.4,3.6,-0.2,21,0.00,05.11.22
WR,Chhattisgarh,3986,0,89.7,37.4,0.7,155,0.00,05.11.22
,Gujarat,18947,0,388.5,252.7,2.7,901,0.00,05.11.22
,MP,13314,0,276.7,168.6,-1.6,833,0.00,05.11.22
,Maharashtra,23215,0,493.5,150.8,-0.8,707,0.00,05.11.22
,Goa,653,0,12.7,12.9,-0.8,37,0.00,05.11.22
,DNHDDPDCL,1153,0,26.6,26.5,0.1,74,0.00,05.11.22
,AMNSIL,737,0,15.7,9.3,0.7,306,0.00,05.11.22
SR,Andhra Pradesh,8710,0,187.6,68.7,0.2,380,0.00,05.11.22
,Telangana,9149,0,174.0,21.6,-0.6,490,0.00,05.11.22
,Karnataka,10058,0,189.9,62.4,-1.4,461,0.00,05.11.22
,Kerala,3647,0,74.8,48.4,0.0,233,0.00,05.11.22
,Tamil Nadu,13103,0,273.3,155.1,-0.2,449,0.00,05.11.22
,Puducherry,403,0,7.9,7.9,0.0,62,0.00,05.11.22
ER,Bihar,4753,0,87.5,77.7,-1.1,189,0.10,05.11.22
,DVC,3320,0,70.6,-43.4,0.2,257,0.00,05.11.22
,Jharkhand,1570,516,28.1,18.7,0.1,435,3.67,05.11.22
,Odisha,5486,0,113.0,34.0,-0.9,559,0.00,05.11.22
,West Bengal,7175,0,139.8,9.0,-1.4,484,0.00,05.11.22
,Sikkim,96,0,1.5,1.5,0.0,32,0.00,05.11.22
NER,Arunachal Pradesh,108,0,2.3,2.2,-0.2,19,0.00,05.11.22
,Assam,1631,0,29.8,22.0,0.6,113,0.00,05.11.22
,Manipur,206,22,2.6,2.6,0.0,26,0.02,05.11.22
,Meghalaya,345,0,6.5,4.2,-0.2,59,0.00,05.11.22
,Mizoram,116,0,1.8,1.4,-0.1,29,0.00,05.11.22
,Nagaland,137,0,2.0,1.6,0.1,30,0.00,05.11.22
,Tripura,275,0,4.6,3.4,0.4,63,0.08,05.11.22
NR,Punjab,6285,0,128.5,45.2,-2.1,109,0.00,05.11.23
,Haryana,6165,0,129.7,88.7,-1.4,193,0.00,05.11.23
,Rajasthan,15372,0,313.5,119.3,-3.6,228,0.00,05.11.23
,Delhi,3819,0,72.5,64.5,0.2,216,0.00,05.11.23
,UP,17393,0,331.2,111.5,-2.3,1178,0.00,05.11.23
,Uttarakhand,1832,0,35.7,26.5,-0.1,102,0.00,05.11.23
,HP,1646,0,30.7,21.8,-0.3,23,0.00,05.11.23
,J&K(UT) & Ladakh(UT),2420,0,52.6,42.8,2.1,327,0.14,05.11.23
,Chandigarh,176,0,3.2,3.3,-0.1,18,0.00,05.11.23
,Railways_NR ISTS,182,0,3.8,3.5,0.3,23,0.00,05.11.23
WR,Chhattisgarh,4413,0,95.9,37.8,-0.9,206,0.00,05.11.23
,Gujarat,20855,0,427.9,186.8,-0.2,439,0.00,05.11.23
,MP,15779,0,321.2,203.0,-3.0,861,0.00,05.11.23
,Maharashtra,26678,0,578.5,228.9,-11.8,797,0.00,05.11.23
,Goa,656,0,13.7,12.2,0.8,40,0.00,05.11.23
,DNHDDPDCL,1182,0,27.4,27.6,-0.2,35,0.00,05.11.23
,AMNSIL,859,0,19.0,10.2,-0.4,277,0.00,05.11.23
,BALCO,523,0,12.4,12.4,0.0,10,0.00,05.11.23
SR,Andhra Pradesh,10982,0,214.2,91.1,-1.7,541,0.00,05.11.23
,Telangana,10961,0,209.7,106.3,-2.0,531,0.00,05.11.23
,Karnataka,13078,0,239.0,89.4,-5.2,490,0.00,05.11.23
,Kerala,3661,0,71.5,57.5,-0.6,206,0.00,05.11.23
,Tamil Nadu,12999,0,270.9,159.6,-1.8,843,0.00,05.11.23
,Puducherry,385,0,8.2,8.5,-0.4,28,0.00,05.11.23
ER,Bihar,5213,0,93.4,85.6,-0.5,273,0.33,05.11.23
,DVC,3212,0,68.3,-43.7,-0.3,317,0.00,05.11.23
,Jharkhand,1501,0,31.0,23.0,-1.7,161,0.27,05.11.23
,Odisha,4744,0,103.6,32.1,-0.6,242,0.00,05.11.23
,West Bengal,7430,0,152.3,22.0,-2.1,478,0.00,05.11.23
,Sikkim,81,0,1.1,0.9,0.2,31,0.00,05.11.23
,Railways_ER ISTS,20,0,0.2,0.2,0.0,4,0.00,05.11.23
NER,Arunachal Pradesh,157,0,2.6,2.6,-0.3,21,0.00,05.11.23
,Assam,1565,0,26.5,20.7,-1.6,131,0.00,05.11.23
,Manipur,190,0,2.6,2.7,-0.1,19,0.00,05.11.23
,Meghalaya,320,0,6.1,5.0,-0.2,74,0.00,05.11.23
,Mizoram,109,0,1.9,1.5,-0.1,6,0.00,05.11.23
,Nagaland,132,0,2.3,2.3,-0.1,18,0.00,05.11.23
,Tripura,261,0,4.7,4.6,-0.1,32,0.00,05.11.23
NR,Punjab,7677,0,154.1,80.7,-1.6,304,0.00,05.11.24
,Haryana,7477,0,152.5,110.1,-0.9,162,0.00,05.11.24
,Rajasthan,16144,0,317.5,119.8,-0.7,488,0.00,05.11.24
,Delhi,4155,0,81.7,74.6,-1.9,81,0.00,05.11.24
,UP,18679,0,382.5,131.1,-0.7,301,0.00,05.11.24
,Uttarakhand,2062,0,40.0,27.8,0.8,103,0.00,05.11.24
,HP,1854,0,33.5,21.0,-0.5,267,0.00,05.11.24
,J&K(UT) & Ladakh(UT),2536,0,51.6,43.5,0.7,194,0.00,05.11.24
,Chandigarh,221,0,3.9,4.0,-0.1,44,0.00,05.11.24
,Railways_NR ISTS,190,0,4.0,4.0,0.0,22,0.00,05.11.24
WR,Chhattisgarh,4309,0,92.4,32.4,-0.2,261,0.00,05.11.24
,Gujarat,17304,0,359.9,206.7,-1.1,619,0.00,05.11.24
,MP,14304,0,284.9,165.6,-2.2,461,0.00,05.11.24
,Maharashtra,25351,0,556.7,229.4,-0.2,822,0.00,05.11.24
